Row,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9,Win10,Win11,Win12,Win13,Win14,Win15,Win16,Win17,Win18,Win19,Win20,Win21,Win22,Win23,Win24
S_test1,0.916872278163838,0.93504375705173,0.946086896799089,0.954216978099902,0.954173093063564,0.954084778653842,0.955302966731488,0.956352329830982,0.955466400659918,0.957396301880754,0.958377803959618,0.961764234403727,0.960911408169555,0.962197457267831,0.963043237305436,0.964329286403712,0.964666936360016,0.973871379011603,0.974786675216682,0.963600855774307,0.961223639296233,0.960545029089935,0.959866418883638,0.95918780867734
S_TTD_test1,0.977659574468085,0.984802431610942,0.984802431610942,0.984802431610942,0.980040526849038,0.976139817629179,0.976139817629179,0.976139817629179,0.973758865248227,0.973758865248227,0.973758865248227,0.973758865248227,0.971377912867275,0.971377912867275,0.971377912867275,0.971377912867275,0.971377912867275,0.988095238095238,0.988095238095238,0.969858156028369,0.967477203647416,0.967477203647416,0.967477203647416,0.967477203647416
S_cm_test1,0.856084981859591,0.885285082492519,0.907371361987235,0.923631524588862,0.928305659278091,0.932029739678504,0.934466115833797,0.936564842032785,0.937173936071608,0.941033738513281,0.94299674267101,0.949769603559228,0.950444903471836,0.953017001668388,0.954708561743598,0.95728065994015,0.957955959852758,0.959647519927968,0.961478112338127,0.957343555520246,0.954970074945049,0.953612854532454,0.952255634119859,0.950898413707264
F1_test1,0.78941565600882,0.825159914712153,0.85031185031185,0.869120654396728,0.872210953346856,0.869130869130869,0.863323500491642,0.860759493670886,0.859359844810863,0.857416267942584,0.854166666666667,0.854748603351955,0.848987108655617,0.844686648501362,0.840215439856373,0.836138175376439,0.830850131463628,0.826689774696707,0.832027850304613,0.823223570190641,0.815133276010318,0.808184143222506,0.801352493660186,0.79463537300922
Prec_test1,0.862650602409639,0.867713004484305,0.870212765957447,0.874485596707819,0.870445344129555,0.854616895874263,0.836190476190476,0.826168224299065,0.821892393320965,0.810126582278481,0.799645390070922,0.788659793814433,0.776094276094276,0.763546798029557,0.752411575562701,0.740973312401884,0.730354391371341,0.720543806646526,0.727549467275495,0.717522658610272,0.706408345752608,0.696035242290749,0.685962373371925,0.676176890156919
Sens_test1,0.727642276422764,0.786585365853659,0.83130081300813,0.863821138211382,0.873983739837398,0.884146341463415,0.892276422764228,0.898373983739837,0.900406504065041,0.910569105691057,0.916666666666667,0.932926829268293,0.936991869918699,0.945121951219512,0.951219512195122,0.959349593495935,0.963414634146341,0.969512195121951,0.971544715447154,0.965447154471545,0.963414634146341,0.963414634146341,0.963414634146341,0.963414634146341
S_test2,0.910212574659757,0.920021217871137,0.927094783243334,0.934038994232756,0.939457261994867,0.942418527299975,0.945043617373013,0.946925102449025,0.948657866525632,0.95156103198085,0.952362736827766,0.952550191060431,0.952737645293097,0.953668704522788,0.953539350140013,0.953112553758428,0.953875525372084,0.953151286991688,0.952427048611293,0.951702810230897,0.950978571850502,0.949640082855856,0.94830159386121,0.946963104866564
S_TTD_test2,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898,0.955625327053898
S_cm_test2,0.864799822265616,0.884417108688376,0.89856423943277,0.912452661411614,0.923289196935836,0.929211727546052,0.934461907692128,0.938224877844152,0.941690405997366,0.947496736907802,0.949100146601634,0.949475055066965,0.949849963532295,0.951712081991677,0.951453373226128,0.950599780462957,0.952125723690269,0.950677246929478,0.949228770168687,0.947780293407896,0.946331816647105,0.943654838657813,0.940977860668521,0.938300882679229
F1_test2,0.824489795918367,0.85254691689008,0.868421052631579,0.879487179487179,0.885,0.884803921568627,0.888349514563107,0.886499402628435,0.883666274970623,0.892018779342723,0.888631090487239,0.884041331802526,0.879545454545455,0.880090497737557,0.876404494382023,0.870824053452116,0.873051224944321,0.865638766519824,0.85838779956427,0.851293103448276,0.844349680170576,0.836325237592397,0.828451882845188,0.820725388601036
Prec_test2,0.923780487804878,0.938053097345133,0.934844192634561,0.919571045576407,0.900763358778626,0.882640586797066,0.877697841726619,0.862790697674419,0.846846846846847,0.853932584269663,0.841758241758242,0.829741379310345,0.818181818181818,0.815513626834382,0.807453416149068,0.796334012219959,0.79837067209776,0.784431137724551,0.771037181996086,0.758157389635317,0.745762711864407,0.733333333333333,0.721311475409836,0.709677419354839
Sens_test2,0.744471744471744,0.781326781326781,0.810810810810811,0.842751842751843,0.86977886977887,0.886977886977887,0.899262899262899,0.911547911547912,0.923832923832924,0.933660933660934,0.941031941031941,0.945945945945946,0.950859950859951,0.955773955773956,0.958230958230958,0.960687960687961,0.963144963144963,0.965601965601966,0.968058968058968,0.97051597051597,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973
