Row,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9,Win10,Win11,Win12,Win13,Win14,Win15,Win16,Win17,Win18,Win19,Win20,Win21,Win22,Win23,Win24
S_test1,0.982624481898712,0.983668840460555,0.983004829836385,0.982274418149798,0.981743209650462,0.979328160623401,0.978531347874397,0.97604989778492,0.975053881848665,0.97349609763661,0.972632883825189,0.970151433735711,0.969354620986707,0.968425006112869,0.963931928714651,0.963002313840813,0.957196521265214,0.956266906391376,0.957421171103059,0.952698648449558,0.951406786195603,0.94905813823096,0.944697862957575,0.943901050208571
S_TTD_test1,0.988230085562358,0.983810863152312,0.983810863152312,0.983810863152312,0.983810863152312,0.981371838762068,0.981371838762068,0.978932814371825,0.978932814371825,0.977942715361924,0.977942715361924,0.97550369097168,0.97550369097168,0.97550369097168,0.969838860129823,0.969838860129823,0.962213244974241,0.962213244974241,0.966115399895615,0.959460470043857,0.958470371033956,0.956031346643712,0.950366515801855,0.950366515801855
S_cm_test1,0.977018878235066,0.983526817768797,0.982198796520457,0.980737973147283,0.979675556148611,0.977284482484734,0.975690856986726,0.973166981198015,0.971174949325505,0.969049479911296,0.967323052288454,0.964799176499743,0.963205551001735,0.961346321254059,0.958024997299478,0.956165767551802,0.952179797556187,0.950320567808511,0.948726942310503,0.945936826855258,0.94434320135725,0.942084929818207,0.939029210113295,0.937435584615287
F1_test1,0.909358879882093,0.939923954372624,0.932830188679245,0.925149700598802,0.919642857142857,0.91070110701107,0.902706656912948,0.893401015228426,0.883787661406026,0.876692801140413,0.86864406779661,0.859943977591036,0.852777777777778,0.844566712517194,0.835494880546075,0.827586206896552,0.818548387096774,0.810918774966711,0.80449141347424,0.798159105851414,0.79191128506197,0.78548282566429,0.778350515463918,0.772378516624041
Prec_test1,0.845205479452055,0.898255813953488,0.885386819484241,0.871650211565585,0.861924686192469,0.847527472527473,0.833783783783784,0.819148936170213,0.803129074315515,0.792525773195876,0.779467680608365,0.766541822721598,0.755227552275523,0.742442563482467,0.730310262529833,0.71830985915493,0.707317073170732,0.696,0.686583990980834,0.678970917225951,0.669977924944812,0.661572052401747,0.652972972972973,0.644610458911419
Sens_test1,0.984051036682616,0.985645933014354,0.985645933014354,0.985645933014354,0.985645933014354,0.984051036682616,0.984051036682616,0.982456140350877,0.982456140350877,0.980861244019139,0.980861244019139,0.9792663476874,0.9792663476874,0.9792663476874,0.976076555023923,0.976076555023923,0.971291866028708,0.971291866028708,0.971291866028708,0.968102073365231,0.968102073365231,0.966507177033493,0.963317384370016,0.963317384370016
S_test2,0.938305330036999,0.942794463829399,0.942392700984595,0.942127737045401,0.942204770370228,0.941871406978229,0.93782000303388,0.937486639641881,0.936734245661033,0.936118650585793,0.935366256604945,0.931950678559904,0.931266684031861,0.929733031374072,0.926594757612159,0.926047561989724,0.919991362367608,0.919375767292369,0.91784609212333,0.917298896500895,0.913814919003049,0.911545159386088,0.910861164858045,0.910108770877196
S_TTD_test2,0.922600418383141,0.922600418383141,0.922600418383141,0.922600418383141,0.922600418383141,0.922600418383141,0.916430062917011,0.916430062917011,0.916430062917011,0.916430062917011,0.916430062917011,0.911668158155106,0.911668158155106,0.91025970745088,0.90689047243293,0.90689047243293,0.898386647966664,0.898386647966664,0.897396548956763,0.897396548956763,0.892634644194858,0.890301175194722,0.890301175194722,0.890301175194722
S_cm_test2,0.954010241690857,0.962988509275656,0.96218498358605,0.961655055707661,0.961809122357316,0.961142395573318,0.959209943150749,0.958543216366752,0.957038428405055,0.955807238254576,0.95430245029288,0.952233198964703,0.950865209908615,0.949206355297264,0.946299042791388,0.945204651546518,0.941596076768553,0.940364886618074,0.938295635289897,0.937201244045027,0.934995193811241,0.932789143577454,0.931421154521367,0.929916366559671
F1_test2,0.908344733242134,0.937631394533987,0.931202223766505,0.926155969634231,0.924346629986245,0.918771331058021,0.912423625254582,0.907008086253369,0.900334448160535,0.894946808510638,0.888448844884488,0.881889763779528,0.876140808344198,0.871428571428571,0.863783085861846,0.859344894026975,0.85111821086262,0.846251588310038,0.84017687934302,0.835952231301068,0.82948157401624,0.823091247672253,0.818013571869217,0.8125
Prec_test2,0.886515353805073,0.936974789915966,0.922865013774105,0.911684782608696,0.906882591093117,0.894946808510638,0.884210526315789,0.872892347600519,0.860613810741688,0.850821744627054,0.839152119700748,0.828606658446362,0.818514007308161,0.81136638452237,0.800239234449761,0.792654028436019,0.78169014084507,0.773519163763066,0.764367816091954,0.757403189066059,0.747747747747748,0.738307349665924,0.730176211453744,0.721436343852013
Sens_test2,0.931276297335203,0.938288920056101,0.939691444600281,0.94109396914446,0.94249649368864,0.943899018232819,0.94249649368864,0.943899018232819,0.943899018232819,0.943899018232819,0.943899018232819,0.94249649368864,0.94249649368864,0.94109396914446,0.938288920056101,0.938288920056101,0.934081346423562,0.934081346423562,0.932678821879383,0.932678821879383,0.931276297335203,0.929873772791024,0.929873772791024,0.929873772791024
