Row,Perc100,Perc90,Perc80,Perc70,Perc60,Perc50,Perc40,Perc30,Perc20,Perc10
S_test1,0.970151433735711,0.971999432977483,0.974439092784592,0.973484867130705,0.972597042539236,0.974505493847009,0.969717186075256,0.970062571661486,0.959766774937298,0.959011752470662
S_TTD_test1,0.97550369097168,0.978932814371825,0.983810863152312,0.981371838762068,0.978932814371825,0.983810863152312,0.976493789981581,0.982361937771969,0.964298668030361,0.961859643640117
S_cm_test1,0.964799176499743,0.965066051583141,0.965067322416872,0.965597895499342,0.966261270706647,0.965200124541706,0.962940582168932,0.957763205551002,0.955234881844234,0.956163861301207
F1_test1,0.859943977591036,0.855555555555556,0.850068775790922,0.855162855162855,0.860936408106219,0.850653819683414,0.848861283643892,0.819085487077535,0.828804347826087,0.835390946502058
Prec_test1,0.766541822721598,0.757687576875769,0.747279322853688,0.756127450980392,0.766169154228856,0.74818401937046,0.748175182481752,0.700680272108844,0.72189349112426,0.732851985559567
Sens_test1,0.9792663476874,0.982456140350877,0.985645933014354,0.984051036682616,0.982456140350877,0.985645933014354,0.980861244019139,0.985645933014354,0.972886762360447,0.971291866028708
S_test2,0.931950678559904,0.963340545573607,0.964059402826296,0.967334752930707,0.962077921733504,0.969036638183729,0.961188728847047,0.964764438420233,0.963130952620016,0.963130952620016
S_TTD_test2,0.911668158155106,0.959567317818971,0.969659241912552,0.966290006894602,0.957606533505246,0.969659241912552,0.957606533505246,0.967698457598827,0.964329222580876,0.964329222580876
S_cm_test2,0.952233198964703,0.967113773328243,0.95845956374004,0.968379498966813,0.966549309961761,0.968414034454905,0.964770924188848,0.961830419241639,0.961932682659156,0.961932682659156
F1_test2,0.881889763779528,0.895483870967742,0.881443298969072,0.896329684481649,0.895348837209302,0.892012779552716,0.887892376681614,0.867454884878656,0.872020075282309,0.872020075282309
Prec_test2,0.828606658446362,0.829151732377539,0.815256257449344,0.828571428571429,0.829940119760479,0.81924882629108,0.817216981132076,0.779642058165548,0.788876276958002,0.788876276958002
Sens_test2,0.94249649368864,0.973352033660589,0.959326788218794,0.976157082748948,0.97194950911641,0.978962131837307,0.97194950911641,0.977559607293128,0.974754558204769,0.974754558204769
